0,Brand,Model,Price,Fuel,Variant,KMS_driven
238,2016 Hyundai Verna,1.6 VTVT SX,5.27 Lakh,Petrol,Manual,"62,760 kms"
239,2018 Hyundai Verna,CRDi 1.6 SX Option,10.17 Lakh,Diesel,Manual,"99,107 kms"
240,2019 Maruti Ertiga,ZXI AT Petrol,10.28 Lakh,Petrol,Automatic,"66,599 kms"
241,2019 Honda City,i-VTEC SV,7.91 Lakh,Petrol,Manual,"39,946 kms"
242,2013 Honda City,S,4.26 Lakh,Petrol,Manual,"68,829 kms"
243,2016 Hyundai i20,Sportz 1.2,5.73 Lakh,Petrol,Manual,"91,863 kms"
244,2016 Hyundai i20,Asta Option 1.2,5.56 Lakh,Petrol,Manual,"1,14,528 kms"
245,2016 Hyundai i20,Asta Option 1.2,5.37 Lakh,Petrol,Manual,"32,564 kms"
246,2017 Maruti Baleno,1.2 Alpha,6.10 Lakh,Petrol,Manual,"9,351 kms"
247,2015 Hyundai i20,Asta 1.2,5.50 Lakh,Petrol,Manual,"1,38,178 kms"
248,2019 Hyundai Santro,Magna CNG BSIV,5.60 Lakh,CNG,Manual,"1,08,487 kms"
249,2016 Honda Jazz,1.2 V AT i VTEC,6.03 Lakh,Petrol,Automatic,"87,681 kms"
250,2018 Toyota Yaris,G BSIV,7.64 Lakh,Petrol,Manual,"81,851 kms"
251,2016 Maruti Ciaz,ZDi SHVS,6.89 Lakh,Diesel,Manual,"1,18,769 kms"
252,2016 Maruti Ciaz,ZXi,6.47 Lakh,Petrol,Manual,"43,832 kms"
253,2017 Maruti Ciaz,ZXi,6.04 Lakh,Petrol,Manual,"90,402 kms"
254,2012 Hyundai i10,Sportz,2.73 Lakh,Petrol,Manual,"71,615 kms"
255,2018 Mahindra XUV500,W7 BSIV,11.74 Lakh,Diesel,Manual,"49,623 kms"
256,2016 Hyundai Verna,1.6 CRDi SX,7.94 Lakh,Diesel,Manual,"1,04,537 kms"
257,2015 Toyota Corolla Altis,VL AT,9.35 Lakh,Petrol,Automatic,"26,133 kms"
258,2015 Honda Jazz,1.2 SV i VTEC,4.81 Lakh,Petrol,Manual,"38,286 kms"
259,2018 Hyundai Creta,1.6 VTVT E Plus,9.41 Lakh,Petrol,Manual,"95,446 kms"
260,2017 Maruti Baleno,1.3 Delta,6.30 Lakh,Diesel,Manual,"26,697 kms"
261,2016 Hyundai Creta,1.6 CRDi SX,9.87 Lakh,Diesel,Manual,"30,253 kms"
262,2018 Maruti Swift Dzire,ZXI 1.2,6.80 Lakh,Petrol,Manual,"75,020 kms"
263,2014 Hyundai i20,Asta 1.2,5.04 Lakh,Petrol,Manual,"42,218 kms"
264,2015 Hyundai i20 Active,1.4 SX,5.20 Lakh,Diesel,Manual,"25,607 kms"
265,2017 Hyundai Grand i10,Sportz,4.98 Lakh,Petrol,Manual,"43,391 kms"
266,2015 Maruti Celerio,VXI AT,4.19 Lakh,Petrol,Automatic,"98,772 kms"
267,2021 Maruti Swift,ZXI AMT,8.45 Lakh,Petrol,Automatic,"65,059 kms"
268,2015 Honda City,i VTEC CVT VX,7.19 Lakh,Petrol,Automatic,"89,742 kms"
269,2011 Hyundai i10,Magna,2.28 Lakh,Petrol,Manual,"18,474 kms"
270,2017 Hyundai i20,1.2 Asta Option,6.00 Lakh,Petrol,Manual,"26,303 kms"
271,2016 Maruti Celerio,VXI AT,4.40 Lakh,Petrol,Automatic,"18,096 kms"
272,2016 Toyota Corolla Altis,G MT,9.40 Lakh,Petrol,Manual,"1,01,685 kms"
273,2016 Honda Jazz,1.2 V i VTEC,5.15 Lakh,Petrol,Manual,"31,696 kms"
